Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
43,37,1/20/2014,24-147,HOU,,POR,W (+13),1,41:25:00,7,15,0.467,4,9,0.444,4,5,0.8,2,4,6,5,1,0,5,3,22,14.8,5
44,38,1/22/2014,24-149,HOU,,SAC,W (+21),1,33:03:00,7,16,0.438,0,5,0,10,10,1,0,2,2,9,2,2,3,2,24,22.1,10
45,39,1/24/2014,24-151,HOU,,MEM,L (-1),1,39:46:00,2,11,0.182,1,4,0.25,5,6,0.833,0,2,2,13,1,0,1,2,10,11.6,4
46,40,1/25/2014,24-152,HOU,@,MEM,L (-18),1,34:06:00,6,13,0.462,0,4,0,4,4,1,2,2,4,3,0,1,3,0,16,11.1,-22
47,,1/28/2014,24-155,HOU,,SAS,W (+7),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
48,,1/29/2014,24-156,HOU,@,DAL,W (+2),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
49,41,2/1/2014,24-159,HOU,,CLE,W (+14),1,36:38:00,10,17,0.588,3,8,0.375,5,6,0.833,1,2,3,4,0,0,3,2,28,20,6
50,42,2/5/2014,24-163,HOU,,PHO,W (+14),1,38:15:00,4,10,0.4,3,5,0.6,12,12,1,0,2,2,1,2,0,1,2,23,19.1,25
51,43,2/8/2014,24-166,HOU,@,MIL,W (+6),1,39:06:00,9,21,0.429,1,9,0.111,3,4,0.75,0,2,2,3,4,0,5,1,22,11.8,3
52,44,2/10/2014,24-168,HOU,@,MIN,W (+18),1,32:08:00,4,14,0.286,3,6,0.5,8,8,1,0,5,5,5,1,0,4,0,19,12.8,8
53,45,2/12/2014,24-170,HOU,,WAS,W (+1),1,40:33:00,8,14,0.571,3,6,0.5,16,16,1,1,5,6,6,1,0,4,3,35,30.6,0
54,46,2/19/2014,24-177,HOU,@,LAL,W (+26),1,32:05:00,10,18,0.556,5,7,0.714,4,6,0.667,1,5,6,11,4,1,1,3,29,32,23
55,47,2/20/2014,24-178,HOU,@,GSW,L (-3),1,45:26:00,14,27,0.519,3,8,0.375,8,10,0.8,2,2,4,5,1,0,2,4,39,27.8,0
56,48,2/23/2014,24-181,HOU,@,PHO,W (+3),1,41:39:00,6,15,0.4,2,7,0.286,9,9,1,1,4,5,7,3,0,4,5,23,18.7,14
57,49,2/25/2014,24-183,HOU,@,SAC,W (+26),1,31:10:00,11,20,0.55,6,9,0.667,15,16,0.938,0,2,2,8,3,0,5,2,43,36.4,29
58,50,2/26/2014,24-184,HOU,@,LAC,L (-8),1,42:43:00,6,16,0.375,1,6,0.167,5,7,0.714,2,4,6,3,0,0,6,2,18,6.3,-13
59,51,3/1/2014,24-187,HOU,,DET,W (+8),1,39:43:00,7,16,0.438,1,6,0.167,5,8,0.625,1,4,5,12,3,0,4,0,20,19.7,15
60,52,3/4/2014,24-190,HOU,,MIA,W (+3),1,39:40:00,9,15,0.6,1,5,0.2,2,5,0.4,0,4,4,11,1,0,6,3,21,15.6,14
61,53,3/5/2014,24-191,HOU,@,ORL,W (+12),1,36:05:00,11,19,0.579,2,7,0.286,7,7,1,1,2,3,6,0,0,3,2,31,23.8,17
62,54,3/7/2014,24-193,HOU,,IND,W (+26),1,30:31:00,10,17,0.588,4,7,0.571,4,6,0.667,0,4,4,4,3,0,2,2,28,23.5,28
63,55,3/9/2014,24-195,HOU,,POR,W (+5),1,47:12:00,12,28,0.429,7,12,0.583,10,11,0.909,2,8,10,6,6,1,4,5,41,34.5,10
64,56,3/11/2014,24-197,HOU,@,OKC,L (-8),1,43:42:00,9,21,0.429,3,7,0.429,7,7,1,0,8,8,9,1,1,3,1,28,23.9,-6
65,57,3/13/2014,24-199,HOU,@,CHI,L (-24),1,26:36:00,2,7,0.286,1,5,0.2,3,4,0.75,0,2,2,2,0,1,5,3,8,0,-30
66,58,3/16/2014,24-202,HOU,@,MIA,L (-9),1,43:11:00,7,16,0.438,5,12,0.417,11,12,0.917,0,3,3,1,1,0,4,3,30,18.6,-7
67,59,3/17/2014,24-203,HOU,,UTA,W (+38),1,26:38:00,5,10,0.5,2,4,0.5,3,3,1,0,1,1,5,0,0,1,3,15,11.6,11
68,60,3/20/2014,24-206,HOU,,MIN,W (+23),1,36:20:00,9,16,0.563,6,10,0.6,4,4,1,1,4,5,8,1,0,7,1,28,21.5,21
69,61,3/22/2014,24-208,HOU,@,CLE,W (+7),1,29:28:00,9,15,0.6,5,8,0.625,14,14,1,0,3,3,10,4,1,1,1,37,41.3,20
70,62,3/24/2014,24-210,HOU,@,CHA,W (+11),1,39:07:00,11,19,0.579,4,7,0.571,5,7,0.714,0,3,3,5,1,1,3,4,31,22.8,10
71,63,3/27/2014,24-213,HOU,,PHI,W (+22),1,31:29:00,9,17,0.529,3,8,0.375,5,6,0.833,4,6,10,10,1,0,5,0,26,24.9,26
72,64,3/29/2014,24-215,HOU,,LAC,L (-11),1,41:31:00,9,22,0.409,3,11,0.273,11,13,0.846,2,5,7,6,1,0,6,3,32,20.3,-2
73,65,4/1/2014,24-218,HOU,@,BRK,L (-9),1,36:06:00,4,10,0.4,2,6,0.333,16,16,1,1,0,1,9,2,0,4,2,26,24.8,-17
74,66,4/2/2014,24-219,HOU,@,TOR,L (-4),1,39:37:00,7,17,0.412,2,6,0.333,10,12,0.833,0,6,6,4,2,0,1,4,26,20.1,-14
75,67,4/4/2014,24-221,HOU,,OKC,W (+4),1,43:02:00,9,22,0.409,4,8,0.5,17,20,0.85,0,9,9,7,2,0,5,2,39,29.8,5
76,68,4/6/2014,24-223,HOU,,DEN,W (+5),1,43:13:00,9,23,0.391,3,10,0.3,11,12,0.917,0,4,4,10,4,0,5,3,32,25.1,1
77,69,4/8/2014,24-225,HOU,@,LAL,W (+15),1,31:46:00,10,15,0.667,3,6,0.5,10,11,0.909,1,2,3,12,0,1,1,3,33,34.3,26
78,70,4/9/2014,24-226,HOU,@,DEN,L (-7),1,25:46:00,1,9,0.111,0,4,0,8,8,1,0,4,4,6,1,0,1,0,10,9.5,-21
79,71,4/11/2014,24-228,HOU,@,MIN,L (-2),1,46:09:00,7,14,0.5,4,5,0.8,15,19,0.789,1,7,8,10,6,0,5,5,33,33.2,-3
80,72,4/12/2014,24-229,HOU,,NOP,W (+7),1,43:22:00,10,22,0.455,3,8,0.375,10,10,1,1,3,4,13,2,0,4,2,33,29.5,11
81,73,4/14/2014,24-231,HOU,,SAS,W (+6),1,35:11:00,4,16,0.25,0,4,0,8,8,1,0,2,2,7,1,0,1,4,16,10.3,6
82,,4/16/2014,24-233,HOU,@,NOP,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
1,1,10/31/2012,23-066,HOU,@,DET,W (+9),1,44:04:00,14,25,0.56,4,10,0.4,5,6,0.833,1,5,6,12,4,1,4,2,37,35.2,18
2,2,11/2/2012,23-068,HOU,@,ATL,W (+7),1,39:49:00,14,19,0.737,2,4,0.5,15,17,0.882,1,6,7,2,0,0,5,3,45,34.2,17
3,3,11/3/2012,23-069,HOU,,POR,L (-10),1,40:43:00,8,24,0.333,1,6,0.167,7,10,0.7,2,4,6,5,1,1,5,3,24,10.8,-16
4,4,11/7/2012,23-073,HOU,,DEN,L (-6),1,38:20:00,5,15,0.333,0,5,0,5,7,0.714,1,2,3,2,5,0,6,1,15,7,-6
5,5,11/9/2012,23-075,HOU,@,MEM,L (-8),1,40:38:00,4,18,0.222,1,6,0.167,9,10,0.9,2,2,4,4,0,2,5,1,18,7.4,-2
6,6,11/10/2012,23-076,HOU,,DET,W (+14),1,35:16:00,6,14,0.429,2,6,0.333,6,7,0.857,0,5,5,2,0,0,5,0,20,10.1,11
7,7,11/12/2012,23-078,HOU,,MIA,L (-3),1,39:50:00,6,17,0.353,1,6,0.167,9,11,0.818,0,3,3,5,1,1,2,4,22,14.2,-9
8,8,11/14/2012,23-080,HOU,,NOH,W (+4),1,39:19:00,10,20,0.5,1,7,0.143,9,11,0.818,0,3,3,4,0,1,1,2,30,21.8,-2
9,9,11/16/2012,23-082,HOU,@,POR,L (-2),1,43:26:00,8,18,0.444,2,4,0.5,11,12,0.917,2,4,6,6,3,0,4,4,29,23.4,0
10,10,11/18/2012,23-084,HOU,@,LAL,L (-11),1,38:19:00,7,18,0.389,3,7,0.429,3,5,0.6,0,2,2,7,1,0,5,2,20,10.1,-10
11,11,11/19/2012,23-085,HOU,@,UTA,L (-11),1,17:29,1,6,0.167,1,2,0.5,3,3,1,0,2,2,3,0,1,2,2,6,2.8,-13
12,12,11/21/2012,23-087,HOU,,CHI,W (+4),1,42:25:00,8,14,0.571,3,7,0.429,9,13,0.692,1,3,4,3,5,0,6,3,28,21.3,6
13,13,11/23/2012,23-089,HOU,,NYK,W (+28),1,39:25:00,7,15,0.467,3,5,0.6,16,16,1,0,4,4,9,1,1,3,3,33,30.3,27
14,14,11/27/2012,23-093,HOU,,TOR,W (+16),1,43:36:00,9,19,0.474,4,8,0.5,2,3,0.667,1,5,6,12,3,1,4,1,24,23.8,13
15,15,11/28/2012,23-094,HOU,@,OKC,L (-22),1,39:27:00,3,16,0.188,2,5,0.4,9,11,0.818,1,1,2,3,1,0,3,2,17,6.5,-17
16,16,12/1/2012,23-097,HOU,,UTA,W (+8),1,39:16:00,7,16,0.438,1,3,0.333,3,3,1,1,1,2,7,1,0,5,2,18,10.7,-3
17,17,12/4/2012,23-100,HOU,,LAL,W (+2),1,37:43:00,3,19,0.158,0,4,0,9,11,0.818,5,5,10,6,1,0,4,4,15,6.7,3
18,18,12/7/2012,23-103,HOU,@,SAS,L (-22),1,34:26:00,10,16,0.625,3,6,0.5,6,7,0.857,0,3,3,5,4,0,3,1,29,26.4,-15
19,19,12/8/2012,23-104,HOU,,DAL,L (-7),1,45:47:00,10,17,0.588,4,9,0.444,15,16,0.938,0,6,6,9,2,1,6,3,39,34.3,-7
20,,12/10/2012,23-106,HOU,,SAS,L (-8),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
21,20,12/12/2012,23-108,HOU,,WAS,W (+6),1,39:18:00,10,20,0.5,2,6,0.333,9,9,1,1,3,4,2,3,0,5,0,31,22,8
22,21,12/14/2012,23-110,HOU,,BOS,W (+12),1,38:22:00,6,17,0.353,2,7,0.286,7,8,0.875,0,5,5,5,3,0,1,1,21,17.7,16
23,22,12/16/2012,23-112,HOU,@,TOR,L (-7),1,41:20:00,7,18,0.389,0,3,0,14,15,0.933,1,3,4,4,1,1,2,2,28,21.1,-2
24,23,12/17/2012,23-113,HOU,@,NYK,W (+13),1,37:42:00,9,18,0.5,2,6,0.333,8,9,0.889,1,9,10,3,2,0,1,3,28,23.9,13
25,24,12/19/2012,23-115,HOU,,PHI,W (+22),1,37:29:00,7,12,0.583,2,3,0.667,17,18,0.944,0,2,2,7,0,1,2,3,33,30,32
26,25,12/22/2012,23-118,HOU,,MEM,W (+25),1,30:22:00,9,13,0.692,3,3,1,10,12,0.833,0,2,2,8,3,0,3,1,31,30.5,14
27,26,12/25/2012,23-121,HOU,@,CHI,W (+23),1,35:53:00,7,13,0.538,1,2,0.5,11,13,0.846,1,4,5,6,2,1,1,1,26,26.3,26
28,27,12/26/2012,23-122,HOU,@,MIN,W (+3),1,37:37:00,11,22,0.5,2,5,0.4,6,6,1,2,4,6,3,2,1,3,2,30,22.6,-9
29,28,12/28/2012,23-124,HOU,@,SAS,L (-6),1,41:02:00,10,22,0.455,3,4,0.75,10,13,0.769,3,2,5,7,2,0,5,5,33,23,-11
30,29,12/29/2012,23-125,HOU,,OKC,L (-30),1,31:17:00,6,17,0.353,2,7,0.286,11,14,0.786,0,3,3,1,2,0,4,3,25,12.7,-13
31,30,12/31/2012,23-127,HOU,,ATL,W (+19),1,34:10:00,7,17,0.412,2,6,0.333,12,13,0.923,1,1,2,5,2,1,1,1,28,24.3,4
32,31,1/2/2013,23-129,HOU,,NOH,W (+12),1,40:29:00,11,23,0.478,2,8,0.25,7,9,0.778,0,2,2,7,0,0,3,3,31,19.8,13
33,32,1/4/2013,23-131,HOU,@,MIL,W (+14),1,38:09:00,11,18,0.611,2,4,0.5,5,7,0.714,1,1,2,7,4,1,2,3,29,27.4,28
