Play,Rk,G,Date,Age,Tm,HorA,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BoxPM
SK,15,15,5/31/1998,32-246,CHI,,IND,W (+5),0,18:50,3,7,0.429,3,5,0.6,2,2,1,1,0,1,0,1,0,0,3,11,7.8,1.1
SK,16,16,6/3/1998,32-249,CHI,@,UTA,L (-3),0,27:25:00,2,3,0.667,0,0,,0,0,,0,0,0,5,0,0,1,1,4,4.8,1.1
SK,17,17,6/5/1998,32-251,CHI,@,UTA,W (+5),0,26:58:00,1,5,0.2,1,4,0.25,4,4,1,1,0,1,2,0,0,1,1,7,4.6,1.1
SK,18,18,6/7/1998,32-253,CHI,,UTA,W (+42),0,12:24,2,5,0.4,2,4,0.5,0,0,,0,1,1,2,0,0,0,0,6,5,1.1
SK,19,19,6/10/1998,32-256,CHI,,UTA,W (+4),0,15:54,0,3,0,0,2,0,0,0,,0,0,0,1,1,0,0,2,0,-1.2,1.1
SK,20,20,6/12/1998,32-258,CHI,,UTA,L (-2),0,18:19,2,4,0.5,2,3,0.667,0,0,,0,0,0,2,0,0,0,1,6,5,1.1
SK,21,21,6/14/1998,32-260,CHI,@,UTA,W (+1),0,24:05:00,0,0,,0,0,,0,0,,0,0,0,3,1,0,1,3,0,0.9,1.1
SK,1,1,4/25/1997,31-210,CHI,,WSB,W (+12),0,21:07,4,5,0.8,3,3,1,2,2,1,0,1,1,2,1,0,0,1,13,13.4,2
SK,2,2,4/27/1997,31-212,CHI,,WSB,W (+5),0,21:19,1,2,0.5,0,0,,0,0,,0,2,2,3,1,0,0,0,2,4.7,2
SK,3,3,4/30/1997,31-215,CHI,@,WSB,W (+1),0,20:33,3,6,0.5,1,2,0.5,0,0,,1,1,2,0,1,0,0,2,7,5.2,2
SK,4,4,5/6/1997,31-221,CHI,,ATL,W (+3),0,15:13,1,3,0.333,1,3,0.333,0,0,,1,1,2,1,0,0,0,0,3,3,2
SK,5,5,5/8/1997,31-223,CHI,,ATL,L (-8),0,11:14,1,3,0.333,1,3,0.333,0,0,,0,0,0,1,0,0,1,0,3,1,2
SK,6,6,5/10/1997,31-225,CHI,@,ATL,W (+20),0,17:09,2,6,0.333,1,4,0.25,0,0,,0,3,3,1,2,0,1,3,5,3,2
SK,7,7,5/11/1997,31-226,CHI,@,ATL,W (+9),0,20:09,2,6,0.333,0,1,0,0,0,,0,0,0,1,1,0,2,1,4,-0.1,2
SK,8,8,5/13/1997,31-228,CHI,,ATL,W (+15),0,24:18:00,5,6,0.833,3,4,0.75,2,2,1,1,0,1,1,2,0,1,2,15,14.4,2
SK,9,9,5/20/1997,31-235,CHI,,MIA,W (+7),0,16:35,1,4,0.25,1,2,0.5,0,0,,0,1,1,1,0,1,0,1,3,1.9,2
SK,10,10,5/22/1997,31-237,CHI,,MIA,W (+7),0,10:38,1,2,0.5,0,1,0,1,2,0.5,0,0,0,1,1,0,0,1,3,2.9,2
